ej_index	label	order	type_equiv_class_size
161	51840.b.1440.j1.a1	36	1
162	51840.b.960.g1.a1	54	1
163	51840.b.960.b1.a1	54	1
164	51840.b.480.e1.a1	108	1
165	51840.b.480.h1.a1	108	1
166	51840.b.480.d1.a1	108	1
167	51840.b.480.a1.a1	108	1
168	51840.b.240.a1.a1	216	1
169	51840.b.5760.a1.a1	9	1
170	51840.b.2880.n1.a1	18	1
171	51840.b.1920.c1.a1	27	1
172	51840.b.2880.p2.a1	18	2
173	51840.b.2880.h1.a1	18	1
174	51840.b.960.a1.a1	54	1
175	51840.b.480.b1.a1	108	1
176	51840.b.2880.l1.a1	18	1
177	51840.b.2880.d1.a1	18	1
178	51840.b.1440.i1.a1	36	1
179	51840.b.1440.k1.a1	36	1
180	51840.b.1440.o1.a1	36	1
181	51840.b.1440.c1.a1	36	1
182	51840.b.1440.m1.a1	36	1
183	51840.b.720.c1.a1	72	1
184	51840.b.2880.p1.a1	18	2
185	51840.b.960.d1.a1	54	1
186	51840.b.1440.e1.a1	36	1
187	51840.b.4320.i1.a1	12	3
188	51840.b.2880.f1.a1	18	1
189	51840.b.960.h1.a1	54	1
190	51840.b.1440.d1.a1	36	1
191	51840.b.8640.f1.a1	6	3
192	51840.b.5760.c1.a1	9	1
193	51840.b.2880.b1.a1	18	1
194	51840.b.8640.g1.a1	6	4
195	51840.b.4320.m1.a1	12	1
196	51840.b.4320.p1.a1	12	1
197	51840.b.4320.j1.a1	12	1
198	51840.b.2160.f1.a1	24	1
199	51840.b.8640.e1.a1	6	1
200	51840.b.8640.m1.a1	6	2
201	51840.b.4320.f1.a1	12	1
202	51840.b.17280.a1.a1	3	2
203	51840.b.120.a1.a1	432	1
204	51840.b.240.c1.a1	216	1
205	51840.b.240.d1.a1	216	1
206	51840.b.240.j1.a1	216	1
207	51840.b.240.f1.a1	216	1
208	51840.b.240.b1.a1	216	1
209	51840.b.480.i1.a1	108	1
210	51840.b.480.j1.a1	108	1
211	51840.b.240.e1.a1	216	1
212	51840.b.480.c1.a1	108	1
213	51840.b.480.k1.a1	108	1
214	51840.b.1080.h1.a1	48	1
215	51840.b.2160.s1.a1	24	1
216	51840.b.2160.z1.a1	24	1
217	51840.b.2160.g1.a1	24	1
218	51840.b.2160.e1.a1	24	1
219	51840.b.2160.d1.a1	24	1
220	51840.b.4320.r1.a1	12	1
221	51840.b.4320.q1.a1	12	1
222	51840.b.12960.f1.a1	4	1
223	51840.b.6480.p1.a1	8	2
224	51840.b.6480.o1.a1	8	1
225	51840.b.6480.q1.a1	8	1
226	51840.b.3240.bb1.a1	16	1
227	51840.b.6480.m1.a1	8	1
228	51840.b.6480.y2.a1	8	2
229	51840.b.3240.f1.a1	16	1
230	51840.b.6480.r1.a1	8	1
231	51840.b.3240.q1.a1	16	1
232	51840.b.3240.z1.a1	16	1
233	51840.b.3240.r2.a1	16	2
234	51840.b.3240.x1.a1	16	1
235	51840.b.1620.d1.a1	32	1
236	51840.b.6480.k1.a1	8	1
237	51840.b.3240.v1.a1	16	1
238	51840.b.3240.t1.a1	16	1
239	51840.b.3240.c1.a1	16	1
240	51840.b.1620.e1.a1	32	1
241	51840.b.2160.w1.a1	24	1
242	51840.b.2160.k1.a1	24	1
243	51840.b.1080.i1.a1	48	1
244	51840.b.3240.u1.a1	16	1
245	51840.b.3240.m1.a1	16	1
246	51840.b.3240.n1.a1	16	1
247	51840.b.3240.p1.a1	16	1
248	51840.b.3240.y1.a1	16	1
249	51840.b.3240.l1.a1	16	1
250	51840.b.1620.i1.a1	32	1
251	51840.b.1620.o1.a1	32	1
252	51840.b.1620.n1.a1	32	1
253	51840.b.1620.c1.a1	32	1
254	51840.b.1620.a1.a1	32	1
255	51840.b.1620.b1.a1	32	1
256	51840.b.810.c1.a1	64	1
257	51840.b.1080.s1.a1	48	1
258	51840.b.1080.w1.a1	48	1
259	51840.b.1080.l1.a1	48	1
260	51840.b.540.e1.a1	96	1
261	51840.b.6480.s1.a1	8	1
262	51840.b.3240.s1.a1	16	1
263	51840.b.2160.q1.a1	24	1
264	51840.b.1620.m1.a1	32	1
265	51840.b.1620.j1.a1	32	1
266	51840.b.810.b1.a1	64	1
267	51840.b.540.j1.a1	96	1
268	51840.b.270.c1.a1	192	1
269	51840.b.1080.t1.a1	48	1
270	51840.b.1080.u1.a1	48	1
271	51840.b.540.b1.a1	96	1
272	51840.b.540.a1.a1	96	1
273	51840.b.540.d1.a1	96	1
274	51840.b.1.a1.a1	51840	1
275	51840.b.540.m1.a1	96	1
276	51840.b.270.b1.a1	192	1
277	51840.b.3240.o1.a1	16	1
278	51840.b.3240.w1.a1	16	1
279	51840.b.1620.l1.a1	32	1
280	51840.b.1620.k1.a1	32	1
281	51840.b.1620.h1.a1	32	1
282	51840.b.1620.g1.a1	32	1
283	51840.b.1080.q1.a1	48	1
284	51840.b.810.g1.a1	64	1
285	51840.b.810.a1.a1	64	1
286	51840.b.810.d1.a1	64	1
287	51840.b.810.e1.a1	64	1
288	51840.b.810.f1.a1	64	1
289	51840.b.405.a1.a1	128	1
290	51840.b.270.e1.a1	192	1
291	51840.b.270.g1.a1	192	1
292	51840.b.135.b1.a1	384	1
293	51840.b.648.a1.a1	80	1
294	51840.b.324.a1.a1	160	1
295	51840.b.162.a1.a1	320	1
296	51840.b.54.a1.a1	960	1
